actual_minutes,predicted_minutes
36.6,28.6
200.7,133.5
167.0,166.6
91.2,87.7
1006.2,135.8
925.7,57.2
47.1,84.9
290.7,70.3
995.1,64.8
41.5,108.4
910.7,60.3
266.3,127.3
30.9,156.7
18.8,78.5
22.5,134.4
27.6,24.4
33.9,22.5
14.7,21.1
40.6,24.2
32.5,83.1
72.1,57.3
20.8,51.7
96.7,46.1
46.8,105.2
48.2,63.0
63.6,49.5
1.1,86.3
72.4,54.3
90.4,55.6
25.4,44.2
122.3,39.5
86.3,51.8
1412.0,293.1
1.9,52.4
1197.6,65.1
14.2,16.4
39.2,49.5
35.3,47.9
30.1,56.4
226.3,72.0
112.1,30.1
123.7,27.7
61.3,25.9
21.6,63.8
2.6,36.1
25.8,35.5
40.9,34.0
76.0,45.0
24.6,43.2
27.3,18.1
19.6,36.7
22.9,53.9
65.9,37.2
4.5,66.0
65.7,35.4
142.5,119.8
142.6,137.8
48.7,29.0
61.2,62.7
1393.5,204.5
32.3,62.2
72.6,134.3
17.0,54.0
40.0,101.1
96.1,46.7
1373.6,81.2
49.0,59.9
548.8,63.1
16.5,108.0
1320.4,111.7
952.4,116.5
536.5,78.7
48.3,46.2
731.8,509.5
45.6,27.1
300.7,41.6
155.9,166.1
26.1,45.0
35.6,33.7
14.9,34.3
10.9,28.3
48.5,29.3
58.5,25.6
14.9,38.8
63.2,127.5
34.9,19.3
948.7,46.7
214.6,84.4
160.5,91.3
106.6,63.1
1.2,61.6
1437.1,117.9
102.5,66.5
46.1,76.9
2.5,109.6
65.6,109.0
0.7,124.4
44.2,46.7
130.2,166.0
32.5,52.6
56.7,38.5
1153.8,89.6
1416.4,98.1
14.6,104.4
35.9,167.4
64.0,113.9
1403.8,60.3
77.1,51.6
16.6,20.4
15.9,45.6
54.2,126.2
35.4,49.1
623.2,51.2
21.1,38.4
38.4,49.5
93.4,20.4
48.4,80.8
101.0,243.9
30.0,19.3
86.2,43.7
13.9,31.1
21.3,44.3
306.1,26.9
62.0,32.3
4.9,69.6
481.6,77.0
16.4,29.5
100.5,28.7
31.6,24.0
6.4,38.6
149.7,55.2
42.8,35.9
82.9,27.8
82.6,27.7
117.5,33.8
60.6,34.8
26.9,66.4
9.9,21.9
103.6,55.6
53.1,58.5
103.5,70.8
1266.7,72.1
256.1,92.1
116.6,41.7
42.2,33.4
49.5,63.6
59.8,29.7
50.0,47.9
91.6,141.6
10.5,54.1
16.3,54.4
26.6,26.8
51.0,38.2
25.0,57.5
34.8,108.5
35.7,48.2
